semester_id,semester_name,start_date,end_date
1,A,2023-12-10,2023-09-20
2,B,2023-11-21,2023-07-01
3,B,2024-03-29,2024-02-09
4,ELUL,2024-03-26,2024-03-06
5,ELUL,2024-01-12,2024-02-24
6,B,2024-05-03,2023-09-09
7,A,2023-10-27,2023-11-17
8,B,2023-12-11,2023-10-10
9,B,2023-12-15,2023-11-16
10,ELUL,2023-05-28,2024-02-22
11,B,2024-01-02,2023-07-03
12,A,2023-12-07,2023-10-16
13,B,2024-01-08,2024-02-04
14,ELUL,2024-03-07,2024-01-22
15,A,2023-06-12,2024-03-10
16,B,2023-08-02,2023-11-02
17,A,2024-02-08,2024-03-06
18,B,2023-08-31,2023-09-10
19,B,2024-02-14,2023-09-09
20,A,2023-06-25,2024-04-24
21,B,2024-04-15,2023-11-04
22,A,2024-03-04,2023-06-22
23,B,2024-01-24,2024-04-17
24,ELUL,2023-10-01,2024-02-26
25,A,2024-02-18,2023-09-18
26,B,2023-08-28,2024-04-18
27,A,2023-07-20,2024-04-14
28,B,2024-05-06,2024-03-23
29,A,2023-11-02,2023-12-28
30,A,2024-03-10,2024-03-29
31,B,2023-12-06,2023-11-22
32,B,2024-02-20,2024-01-17
33,B,2024-01-15,2023-09-04
34,A,2023-11-07,2023-12-03
35,ELUL,2023-06-19,2023-11-12
36,A,2023-06-10,2023-10-29
37,ELUL,2023-06-04,2023-11-01
38,B,2023-08-18,2023-08-01
39,ELUL,2024-04-26,2024-02-26
40,A,2023-07-30,2024-01-30
41,A,2023-06-24,2023-09-21
42,B,2023-05-28,2023-09-16
43,B,2024-02-19,2023-09-02
44,ELUL,2024-03-14,2024-05-25
45,A,2023-08-21,2024-02-04
46,B,2024-05-20,2023-12-29
47,A,2023-06-11,2023-12-17
48,A,2024-03-16,2023-06-09
49,ELUL,2023-06-16,2023-12-22
50,A,2024-05-07,2023-10-04
51,A,2024-05-14,2023-06-20
52,B,2023-05-28,2023-06-27
53,B,2023-11-10,2024-05-10
54,B,2023-06-23,2023-12-31
55,A,2023-09-30,2023-08-20
56,A,2024-03-21,2023-09-01
57,A,2023-09-04,2023-12-09
58,ELUL,2024-05-11,2023-09-13
59,A,2023-11-29,2024-03-31
60,ELUL,2024-04-15,2024-05-16
61,ELUL,2024-04-02,2023-09-09
62,B,2024-04-21,2023-09-09
63,ELUL,2024-05-26,2024-05-08
64,B,2024-04-27,2023-08-11
65,ELUL,2024-05-13,2023-07-13
66,A,2023-06-04,2023-10-23
67,A,2024-05-02,2023-06-29
68,A,2023-06-19,2024-04-09
69,A,2023-10-18,2024-04-04
70,ELUL,2024-03-27,2023-12-23
71,B,2024-02-15,2023-07-04
72,A,2023-12-25,2023-07-06
73,A,2024-02-06,2024-03-16
74,ELUL,2024-02-09,2024-05-12
75,B,2024-02-14,2023-05-28
76,B,2023-07-27,2023-11-21
77,A,2024-05-25,2023-06-27
78,B,2024-04-21,2024-01-19
79,A,2023-05-28,2023-07-05
80,A,2024-04-15,2023-09-07
81,B,2023-10-05,2023-12-27
82,ELUL,2023-12-15,2023-11-26
83,A,2023-11-25,2024-02-11
84,B,2024-04-07,2023-12-10
85,ELUL,2023-07-31,2023-12-24
86,ELUL,2023-06-01,2023-09-30
87,A,2023-10-29,2023-05-27
88,ELUL,2023-11-06,2024-02-17
89,ELUL,2024-05-16,2023-08-16
90,ELUL,2023-06-22,2024-05-07
91,ELUL,2023-10-26,2023-08-26
92,A,2023-12-25,2023-10-22
93,ELUL,2023-11-03,2024-01-05
94,B,2023-11-19,2023-10-27
95,B,2024-05-11,2023-07-15
96,B,2024-03-27,2023-08-02
97,ELUL,2023-11-25,2023-06-19
98,ELUL,2024-04-10,2023-06-14
99,A,2024-01-13,2024-05-06
100,B,2024-02-08,2023-11-18
101,ELUL,2024-05-09,2024-03-20
102,B,2023-06-02,2023-11-28
103,A,2023-08-16,2024-03-03
104,B,2024-01-22,2023-09-26
105,A,2023-07-25,2023-12-09
106,A,2023-09-17,2024-01-08
107,ELUL,2023-06-20,2023-06-19
108,ELUL,2024-03-04,2023-11-26
109,A,2024-01-17,2023-11-20
110,ELUL,2023-06-11,2024-02-06
111,ELUL,2023-10-23,2023-12-24
112,B,2024-05-15,2024-01-14
113,B,2023-06-01,2023-08-29
114,B,2023-07-04,2024-02-09
115,A,2023-08-27,2024-04-12
116,B,2023-07-09,2023-09-11
117,A,2024-05-08,2023-06-06
118,A,2024-05-06,2023-06-04
119,A,2023-07-09,2023-11-28
120,A,2023-08-14,2024-02-02
121,B,2023-09-05,2023-08-02
122,B,2023-06-07,2024-02-09
123,B,2023-05-30,2024-01-14
124,B,2024-02-19,2023-12-06
125,B,2023-11-21,2023-05-30
126,A,2024-02-02,2023-10-05
127,A,2024-01-11,2024-05-17
128,B,2023-08-09,2024-02-26
129,ELUL,2023-12-16,2024-02-15
130,A,2024-02-13,2024-01-01
131,A,2023-07-16,2023-10-17
132,B,2023-09-25,2023-07-23
133,A,2023-08-15,2023-08-07
134,A,2023-11-15,2024-05-26
135,A,2023-12-16,2024-03-19
136,A,2024-01-12,2024-03-18
137,ELUL,2023-05-27,2023-08-02
138,B,2024-05-20,2023-08-25
139,ELUL,2023-10-24,2023-06-06
140,ELUL,2023-09-18,2023-08-12
141,ELUL,2024-03-07,2024-05-23
142,ELUL,2023-06-03,2023-12-17
143,ELUL,2024-05-07,2024-05-26
144,B,2023-11-09,2024-03-15
145,ELUL,2024-01-08,2023-07-30
146,A,2023-09-15,2023-09-11
147,ELUL,2023-11-11,2023-07-01
148,ELUL,2024-04-17,2024-03-05
149,B,2023-09-14,2023-11-25
150,B,2023-07-05,2024-03-04
151,B,2023-12-04,2023-06-30
152,B,2023-06-18,2023-10-16
153,ELUL,2024-02-25,2024-03-30
154,A,2023-10-30,2023-12-27
155,A,2024-01-30,2024-01-22
156,A,2024-03-05,2024-03-24
157,A,2023-08-16,2023-06-11
158,ELUL,2023-11-03,2023-07-25
159,B,2024-04-03,2023-06-01
160,ELUL,2023-08-18,2024-01-15
161,ELUL,2024-04-28,2024-05-08
162,A,2024-01-29,2023-12-05
163,B,2024-03-29,2023-09-03
164,A,2024-02-03,2024-02-15
165,B,2024-02-22,2023-11-06
166,ELUL,2023-08-07,2024-02-14
167,ELUL,2023-08-12,2023-10-15
168,ELUL,2024-03-10,2023-12-22
169,ELUL,2023-06-12,2023-08-27
170,B,2024-01-23,2024-03-05
171,A,2023-08-31,2023-08-30
172,B,2023-09-04,2023-08-15
173,B,2024-01-22,2024-01-07
174,ELUL,2023-08-04,2024-05-18
175,ELUL,2024-03-19,2023-12-26
176,A,2023-07-25,2023-12-22
177,A,2023-06-23,2023-12-20
178,B,2024-04-02,2023-06-27
179,B,2023-06-27,2023-11-04
180,B,2023-07-15,2024-03-31
181,B,2024-04-07,2024-04-12
182,B,2023-06-23,2024-03-15
183,A,2024-02-05,2023-10-13
184,ELUL,2024-02-28,2024-05-22
185,B,2023-10-12,2023-12-25
186,A,2024-02-08,2024-01-02
187,ELUL,2023-09-19,2024-01-23
188,ELUL,2024-05-09,2023-10-26
189,A,2023-10-19,2024-05-20
190,A,2024-03-31,2023-07-27
191,B,2023-11-08,2024-01-27
192,ELUL,2024-05-13,2023-07-05
193,B,2023-06-20,2023-06-05
194,B,2023-09-28,2023-08-08
195,B,2023-07-09,2024-03-31
196,A,2023-07-02,2023-10-07
197,A,2023-12-01,2023-06-27
198,ELUL,2023-09-21,2023-06-12
199,A,2024-05-16,2023-08-13
200,B,2024-03-23,2024-05-11
201,B,2024-02-27,2023-12-01
202,A,2023-09-20,2023-12-26
203,ELUL,2023-10-10,2024-02-11
204,B,2024-04-29,2024-02-01
205,ELUL,2024-02-24,2023-08-11
206,A,2023-12-22,2024-03-08
207,A,2024-03-15,2023-11-24
208,A,2023-10-27,2023-08-23
209,ELUL,2023-07-08,2023-08-07
210,B,2024-05-18,2024-02-06
211,B,2023-09-08,2023-07-13
212,ELUL,2023-06-15,2023-12-15
213,B,2024-01-12,2023-07-24
214,B,2024-03-08,2024-03-15
215,B,2024-02-08,2023-08-24
216,ELUL,2023-11-24,2023-11-08
217,B,2024-05-03,2023-11-28
218,B,2024-05-11,2024-05-08
219,ELUL,2024-02-21,2023-06-10
220,ELUL,2024-02-18,2023-08-15
221,B,2023-10-05,2024-02-25
222,ELUL,2024-03-02,2024-04-12
223,A,2023-12-22,2024-04-14
224,A,2024-05-08,2024-02-21
225,A,2023-06-24,2023-07-19
226,ELUL,2024-01-20,2024-01-30
227,A,2023-06-27,2023-10-26
228,A,2024-05-01,2023-10-08
229,B,2024-01-03,2023-11-29
230,ELUL,2023-11-05,2023-11-13
231,ELUL,2023-07-24,2024-03-30
232,B,2023-11-16,2023-12-14
233,A,2024-03-08,2023-06-17
234,B,2023-08-07,2023-09-17
235,ELUL,2023-10-20,2023-07-19
236,ELUL,2023-09-25,2023-08-02
237,B,2023-11-06,2023-08-06
238,B,2024-03-30,2023-12-25
239,A,2024-04-04,2024-03-15
240,A,2024-03-26,2023-10-16
241,ELUL,2023-08-07,2024-01-26
242,ELUL,2024-02-09,2023-06-19
243,A,2023-07-08,2024-01-23
244,A,2023-09-15,2024-01-07
245,B,2023-07-18,2023-06-08
246,ELUL,2024-01-17,2023-11-25
247,B,2024-03-27,2024-03-19
248,A,2024-04-14,2024-04-14
249,A,2023-08-26,2023-06-24
250,B,2023-09-22,2023-07-03
251,ELUL,2023-11-10,2023-11-01
252,ELUL,2023-12-15,2024-04-27
253,B,2023-07-01,2023-12-29
254,A,2023-07-30,2024-01-07
255,ELUL,2023-08-27,2023-08-21
256,B,2024-04-18,2023-10-24
257,B,2024-03-05,2023-11-25
258,ELUL,2024-03-05,2023-11-16
259,B,2023-11-03,2024-02-19
260,B,2023-12-22,2024-04-05
261,A,2023-06-25,2024-03-15
262,B,2024-04-11,2023-07-30
263,ELUL,2024-03-09,2023-11-11
264,A,2023-12-19,2023-06-20
265,A,2024-03-28,2023-10-22
266,B,2024-03-06,2023-10-21
267,A,2023-09-09,2023-07-05
268,ELUL,2023-10-21,2024-02-14
269,B,2023-07-06,2023-12-30
270,B,2023-08-20,2024-01-04
271,ELUL,2024-04-06,2023-06-06
272,B,2024-02-23,2023-11-25
273,ELUL,2023-11-27,2023-09-04
274,B,2024-01-05,2023-07-30
275,ELUL,2023-08-23,2023-09-10
276,B,2024-03-02,2024-03-29
277,A,2024-05-12,2023-12-16
278,A,2023-09-01,2024-01-09
279,A,2024-04-04,2023-07-13
280,B,2023-12-20,2023-10-10
281,ELUL,2024-05-22,2023-12-16
282,B,2023-08-03,2023-05-30
283,ELUL,2024-04-05,2023-09-26
284,A,2023-11-20,2023-07-24
285,B,2023-06-27,2023-09-27
286,B,2024-05-09,2024-05-24
287,B,2024-03-22,2023-09-02
288,A,2023-08-09,2023-09-24
289,ELUL,2023-07-19,2024-04-11
290,ELUL,2023-08-22,2023-07-04
291,B,2023-09-10,2023-07-03
292,B,2024-01-07,2023-07-12
293,ELUL,2023-07-17,2023-12-29
294,B,2024-05-17,2023-08-16
295,A,2024-05-24,2023-06-30
296,A,2024-04-23,2023-07-24
297,B,2023-06-30,2024-04-30
298,ELUL,2024-04-10,2024-01-02
299,ELUL,2024-02-13,2024-05-16
300,ELUL,2023-08-15,2024-01-26
301,B,2024-03-04,2024-05-08
302,ELUL,2024-04-20,2023-11-19
303,ELUL,2023-07-31,2024-03-31
304,B,2023-08-30,2023-10-31
305,ELUL,2023-09-08,2024-05-14
306,B,2024-01-14,2023-10-17
307,A,2024-02-27,2023-07-29
308,A,2023-10-08,2024-01-31
309,ELUL,2023-09-15,2023-11-08
310,ELUL,2024-04-25,2024-02-02
311,ELUL,2023-06-16,2023-09-05
312,B,2023-12-20,2023-09-13
313,ELUL,2023-10-15,2023-07-01
314,A,2023-07-04,2023-06-24
315,A,2023-06-20,2023-10-06
316,ELUL,2024-02-17,2024-05-21
317,A,2023-09-21,2024-04-03
318,ELUL,2024-01-09,2024-02-02
319,A,2023-10-14,2023-06-26
320,ELUL,2023-12-22,2023-07-18
321,A,2023-08-19,2024-04-30
322,ELUL,2023-07-04,2024-01-10
323,B,2023-11-04,2023-10-27
324,B,2024-04-19,2024-01-16
325,B,2024-05-03,2023-08-12
326,ELUL,2024-03-10,2024-02-05
327,ELUL,2024-04-18,2024-05-05
328,A,2023-07-03,2024-03-05
329,A,2023-06-28,2024-05-09
330,ELUL,2024-05-12,2023-12-07
331,ELUL,2023-12-16,2024-03-16
332,B,2023-06-12,2024-02-09
333,B,2023-11-01,2023-11-20
334,A,2023-12-24,2024-05-13
335,B,2024-04-03,2024-03-15
336,A,2023-08-26,2024-01-20
337,B,2024-05-23,2023-12-29
338,ELUL,2023-09-29,2023-12-29
339,A,2024-03-12,2024-04-26
340,A,2023-09-21,2024-02-01
341,A,2023-07-23,2024-03-27
342,A,2023-07-31,2023-08-23
343,B,2023-11-27,2023-12-07
344,B,2024-01-16,2023-08-14
345,ELUL,2024-05-12,2024-03-23
346,B,2024-04-13,2023-06-15
347,A,2024-04-15,2024-02-13
348,B,2024-01-17,2024-04-11
349,A,2024-04-20,2024-04-02
350,A,2023-07-14,2024-03-25
351,B,2023-08-25,2023-12-30
352,A,2023-06-27,2023-11-27
353,ELUL,2024-03-10,2023-06-13
354,A,2023-09-27,2024-02-26
355,A,2024-01-11,2024-02-13
356,ELUL,2024-01-20,2023-10-14
357,A,2023-11-09,2023-08-08
358,B,2024-02-25,2023-09-15
359,B,2023-06-15,2024-01-30
360,B,2023-08-03,2024-01-28
361,B,2023-05-28,2024-03-04
362,ELUL,2023-11-09,2023-12-02
363,B,2023-11-02,2023-07-22
364,A,2023-07-23,2023-10-07
365,B,2024-03-18,2023-10-17
366,B,2023-09-11,2024-01-24
367,ELUL,2023-10-07,2023-06-23
368,ELUL,2023-05-31,2023-06-02
369,B,2024-02-02,2023-11-03
370,A,2023-10-13,2023-12-08
371,B,2023-11-18,2023-06-07
372,B,2023-06-27,2023-06-16
373,B,2024-03-02,2024-05-11
374,A,2023-09-11,2023-06-15
375,ELUL,2024-04-20,2023-08-12
376,A,2023-08-20,2023-07-02
377,A,2023-12-06,2024-04-24
378,ELUL,2023-11-28,2023-08-04
379,A,2024-05-10,2023-11-02
380,A,2024-05-19,2023-11-08
381,ELUL,2023-11-12,2024-02-17
382,B,2023-10-23,2024-01-15
383,A,2023-11-06,2023-10-14
384,ELUL,2024-05-24,2023-08-16
385,ELUL,2023-08-06,2023-07-15
386,ELUL,2023-07-18,2024-02-02
387,B,2023-07-02,2023-06-05
388,ELUL,2023-12-12,2023-09-18
389,B,2023-08-13,2024-02-07
390,A,2024-04-10,2024-05-23
391,B,2023-07-04,2023-12-06
392,B,2023-07-04,2023-08-28
393,B,2023-10-03,2023-11-28
394,A,2023-09-14,2023-10-08
395,ELUL,2023-08-09,2024-04-20
396,A,2024-05-20,2023-06-14
397,B,2024-01-23,2024-01-01
398,A,2023-05-28,2023-11-24
399,A,2023-06-25,2023-12-13
400,ELUL,2023-06-25,2023-09-05
401,ELUL,2023-10-28,2023-08-02
402,B,2023-11-22,2023-05-30
403,A,2023-08-01,2023-11-20
404,ELUL,2023-06-09,2023-12-25
405,A,2024-04-20,2024-01-15
406,ELUL,2024-02-23,2023-06-01
407,A,2023-07-05,2023-12-01
408,ELUL,2023-07-14,2023-07-16
409,A,2023-12-01,2023-06-10
410,A,2024-01-23,2023-07-19
411,ELUL,2023-11-28,2023-07-08
412,A,2024-03-13,2024-03-06
413,ELUL,2024-05-01,2024-02-24
414,B,2023-06-13,2024-01-12
415,B,2024-03-22,2023-12-15
416,B,2023-12-23,2024-04-14
417,ELUL,2024-02-16,2024-02-07
418,B,2023-06-13,2024-02-01
419,A,2023-08-02,2023-06-14
420,B,2023-12-21,2024-01-15
421,B,2024-04-26,2023-10-26
422,B,2024-04-08,2023-06-07
423,B,2023-06-08,2023-07-18
424,A,2024-01-13,2024-05-19
425,A,2024-04-10,2023-10-10
426,B,2023-07-06,2024-05-08
427,ELUL,2024-05-06,2023-07-03
428,B,2024-02-27,2023-06-25
429,ELUL,2023-11-28,2024-05-18
430,B,2023-10-12,2023-07-24
431,B,2024-03-29,2024-01-04
432,A,2023-12-21,2023-10-06
433,A,2024-02-20,2023-07-31
434,ELUL,2023-09-24,2023-12-09
435,ELUL,2024-01-25,2023-06-09
436,B,2024-01-23,2023-06-04
437,A,2023-11-26,2023-09-27
438,A,2024-05-01,2023-10-08
439,ELUL,2023-07-02,2023-09-05
440,B,2023-11-20,2024-01-30
441,A,2023-10-17,2023-10-25
442,ELUL,2023-08-15,2024-02-17
443,A,2023-07-10,2024-05-16
444,B,2024-03-14,2024-04-06
445,A,2024-02-08,2023-07-21
446,B,2023-12-16,2023-12-27
447,A,2023-07-08,2024-02-22
448,B,2023-07-05,2023-05-27
449,ELUL,2023-05-29,2024-04-08
450,ELUL,2024-03-21,2023-07-30
451,A,2024-05-16,2023-07-27
452,B,2023-08-03,2024-01-20
453,A,2023-08-10,2023-11-14
454,A,2024-03-08,2023-09-11
455,B,2023-07-20,2024-01-22
456,ELUL,2024-04-06,2023-08-14
457,ELUL,2024-01-30,2024-01-18
458,A,2024-05-20,2023-10-28
459,ELUL,2024-01-09,2023-07-14
460,B,2024-02-02,2023-11-09
461,A,2024-01-23,2024-03-06
462,ELUL,2023-12-31,2023-06-08
463,A,2024-02-27,2024-04-13
464,A,2023-07-17,2024-03-05
465,ELUL,2024-04-26,2023-10-12
466,ELUL,2024-02-07,2023-06-29
467,A,2023-08-13,2024-02-05
468,B,2023-07-25,2024-05-04
469,B,2024-02-07,2023-10-06
470,B,2024-01-12,2023-10-24
471,A,2024-05-22,2023-06-29
472,A,2023-09-05,2023-10-24
473,ELUL,2024-04-30,2024-02-27
474,ELUL,2024-04-05,2024-03-18
475,B,2023-08-18,2023-07-06
476,ELUL,2023-08-01,2024-04-15
477,B,2023-12-11,2023-07-25
478,B,2024-03-13,2023-11-12
479,ELUL,2024-02-24,2023-07-22
480,A,2024-02-27,2024-01-07
481,B,2024-04-11,2023-06-13
482,A,2023-06-20,2024-01-24
483,B,2023-12-29,2023-11-19
484,A,2024-02-05,2024-04-22
485,ELUL,2023-09-28,2023-08-16
486,ELUL,2024-01-12,2024-05-15
487,A,2024-01-22,2024-01-29
488,ELUL,2023-07-18,2023-10-27
489,ELUL,2023-09-24,2023-07-04
490,B,2024-03-16,2024-03-30
491,A,2023-11-30,2023-06-12
492,ELUL,2023-06-18,2024-04-21
493,B,2023-12-30,2023-10-18
494,B,2023-07-20,2023-12-16
495,B,2024-01-08,2024-03-26
496,ELUL,2024-02-25,2024-03-12
497,A,2024-04-14,2023-11-22
498,B,2024-05-10,2023-10-06
499,ELUL,2023-08-27,2024-02-01
500,B,2024-04-20,2023-07-08
501,ELUL,2023-06-21,2023-11-14
502,B,2023-07-04,2024-04-02
