semester_id,start_date,semester_name,end_date
1,2017-12-20,Summer 2010,2018-01-09
2,2022-07-30,Fall 2010,2022-08-19
3,2015-08-17,Winter 2010,2015-11-29
4,2022-06-23,Summer 2011,2022-10-06
5,2014-12-11,Fall 2011,2015-04-02
6,2023-02-04,Winter 2011,2023-04-29
7,2021-10-22,Summer 2012,2021-11-19
8,2015-06-25,Fall 2012,2015-10-02
9,2021-01-01,Winter 2012,2021-01-01
10,2017-06-15,Summer 2013,2017-07-20
11,2015-02-15,Fall 2013,2015-03-02
12,2018-07-14,Winter 2013,2018-08-23
13,2020-10-30,Summer 2014,2020-11-28
14,2023-11-04,Fall 2014,2023-11-05
15,2016-06-16,Winter 2014,2016-07-28
16,2016-02-20,Summer 2015,2016-04-30
17,2023-09-16,Fall 2015,2023-09-23
18,2022-08-06,Winter 2015,2022-11-19
19,2023-06-04,Summer 2016,2023-07-09
20,2019-06-29,Fall 2016,2019-09-26
21,2020-09-24,Winter 2016,2020-12-29
22,2017-02-25,Summer 2017,2017-05-12
23,2020-03-14,Fall 2017,2020-03-17
24,2019-08-04,Winter 2017,2019-09-11
25,2019-03-30,Summer 2018,2019-05-10
26,2017-01-05,Fall 2018,2017-02-20
27,2017-09-21,Winter 2018,2017-10-31
28,2021-09-14,Summer 2019,2022-01-05
29,2014-05-29,Fall 2019,2014-08-01
30,2017-03-09,Winter 2019,2017-05-14
31,2019-05-05,Summer 2020,2019-08-23
32,2023-08-03,Fall 2020,2023-10-28
33,2023-03-22,Winter 2020,2023-05-26
34,2020-11-13,Summer 2021,2021-01-01
35,2019-06-09,Fall 2021,2019-06-21
36,2023-03-14,Winter 2021,2023-06-28
37,2019-03-02,Summer 2022,2019-05-14
38,2023-03-31,Fall 2022,2023-04-27
39,2018-05-08,Winter 2022,2018-05-19
40,2018-03-03,Summer 2010,2018-06-19
41,2021-04-29,Fall 2010,2021-06-12
42,2019-02-17,Winter 2010,2019-04-11
43,2017-04-11,Summer 2011,2017-04-30
44,2024-03-11,Fall 2011,2024-07-07
45,2016-06-24,Winter 2011,2016-10-22
46,2022-07-09,Summer 2012,2022-10-30
47,2020-05-27,Fall 2012,2020-09-16
48,2015-08-27,Winter 2012,2015-10-06
49,2017-08-19,Summer 2013,2017-09-10
50,2017-12-14,Fall 2013,2018-03-16
51,2023-01-02,Winter 2013,2023-03-27
52,2022-09-17,Summer 2014,2022-12-27
53,2022-05-26,Fall 2014,2022-07-27
54,2017-07-02,Winter 2014,2017-07-14
55,2023-07-30,Summer 2015,2023-11-01
56,2017-04-05,Fall 2015,2017-04-10
57,2018-02-23,Winter 2015,2018-05-02
58,2020-10-16,Summer 2016,2020-10-17
59,2015-04-06,Fall 2016,2015-05-24
60,2016-05-04,Winter 2016,2016-06-23
61,2023-07-06,Summer 2017,2023-08-08
62,2023-12-20,Fall 2017,2024-01-01
63,2018-11-04,Winter 2017,2018-11-28
64,2016-02-12,Summer 2018,2016-02-16
65,2022-11-21,Fall 2018,2022-12-24
66,2017-10-02,Winter 2018,2018-01-01
67,2015-05-05,Summer 2019,2015-08-13
68,2015-02-25,Fall 2019,2015-05-10
69,2017-01-10,Winter 2019,2017-02-23
70,2015-08-16,Summer 2020,2015-11-10
71,2014-12-27,Fall 2020,2015-02-14
72,2022-12-29,Winter 2020,2023-04-16
73,2022-03-12,Summer 2021,2022-03-12
74,2019-11-24,Fall 2021,2019-11-25
75,2018-06-30,Winter 2021,2018-10-05
76,2017-03-11,Summer 2022,2017-06-04
77,2014-11-27,Fall 2022,2015-02-24
78,2021-12-25,Winter 2022,2022-01-02
79,2023-06-28,Summer 2010,2023-10-18
80,2020-06-22,Fall 2010,2020-09-10
81,2020-05-27,Winter 2010,2020-08-03
82,2021-12-29,Summer 2011,2022-03-17
83,2015-12-20,Fall 2011,2016-04-06
84,2020-12-10,Winter 2011,2021-01-06
85,2021-12-23,Summer 2012,2022-02-01
86,2015-10-23,Fall 2012,2015-11-04
87,2024-03-13,Winter 2012,2024-05-15
88,2015-10-06,Summer 2013,2015-10-18
89,2018-02-06,Fall 2013,2018-05-23
90,2015-01-19,Winter 2013,2015-03-14
91,2019-11-01,Summer 2014,2019-11-26
92,2019-05-24,Fall 2014,2019-08-01
93,2022-07-28,Winter 2014,2022-10-11
94,2016-11-17,Summer 2015,2016-11-28
95,2022-02-20,Fall 2015,2022-05-17
96,2021-12-13,Winter 2015,2022-01-25
97,2023-05-06,Summer 2016,2023-05-25
98,2019-08-31,Fall 2016,2019-11-12
99,2014-10-14,Winter 2016,2014-10-16
100,2018-03-26,Summer 2017,2018-05-18
101,2019-02-08,Fall 2017,2019-03-22
102,2023-03-05,Winter 2017,2023-03-22
103,2015-12-16,Summer 2018,2016-03-28
104,2016-10-02,Fall 2018,2016-10-10
105,2023-02-01,Winter 2018,2023-03-21
106,2016-08-26,Summer 2019,2016-12-09
107,2018-08-27,Fall 2019,2018-11-16
108,2020-05-07,Winter 2019,2020-07-27
109,2019-04-15,Summer 2020,2019-07-24
110,2017-03-14,Fall 2020,2017-04-22
111,2016-03-29,Winter 2020,2016-07-28
112,2020-09-22,Summer 2021,2020-11-21
113,2019-04-19,Fall 2021,2019-07-11
114,2021-03-13,Winter 2021,2021-05-24
115,2022-08-05,Summer 2022,2022-09-29
116,2024-04-03,Fall 2022,2024-05-20
117,2015-08-13,Winter 2022,2015-10-18
118,2016-03-08,Summer 2010,2016-04-10
119,2015-08-09,Fall 2010,2015-09-28
120,2015-05-18,Winter 2010,2015-07-04
121,2016-06-30,Summer 2011,2016-10-28
122,2014-12-02,Fall 2011,2015-03-01
123,2023-05-28,Winter 2011,2023-08-31
124,2021-06-22,Summer 2012,2021-08-23
125,2017-01-20,Fall 2012,2017-03-21
126,2019-08-14,Winter 2012,2019-10-18
127,2017-01-22,Summer 2013,2017-05-19
128,2017-11-07,Fall 2013,2018-03-06
129,2022-01-30,Winter 2013,2022-02-14
130,2019-07-05,Summer 2014,2019-09-03
131,2024-02-04,Fall 2014,2024-04-27
132,2019-09-09,Winter 2014,2019-11-09
133,2018-09-14,Summer 2015,2018-10-23
134,2021-01-12,Fall 2015,2021-01-26
135,2018-10-21,Winter 2015,2018-11-18
136,2019-04-02,Summer 2016,2019-06-07
137,2017-07-09,Fall 2016,2017-08-26
138,2022-09-01,Winter 2016,2022-12-31
139,2015-01-13,Summer 2017,2015-03-17
140,2018-01-13,Fall 2017,2018-02-26
141,2020-03-07,Winter 2017,2020-04-20
142,2024-03-25,Summer 2018,2024-06-27
143,2024-05-18,Fall 2018,2024-09-15
144,2022-06-11,Winter 2018,2022-06-18
145,2015-04-01,Summer 2019,2015-05-16
146,2023-05-04,Fall 2019,2023-08-28
147,2023-06-01,Winter 2019,2023-06-27
148,2020-11-12,Summer 2020,2020-12-20
149,2022-11-28,Fall 2020,2023-01-29
150,2015-02-12,Winter 2020,2015-05-06
151,2022-09-01,Summer 2021,2022-10-12
152,2016-08-16,Fall 2021,2016-10-04
153,2014-11-04,Winter 2021,2014-11-12
154,2023-09-24,Summer 2022,2023-11-14
155,2018-09-07,Fall 2022,2018-11-24
156,2022-12-08,Winter 2022,2022-12-29
157,2017-07-20,Summer 2010,2017-09-20
158,2023-08-26,Fall 2010,2023-11-03
159,2016-06-27,Winter 2010,2016-10-02
160,2015-03-01,Summer 2011,2015-03-17
161,2023-01-31,Fall 2011,2023-05-01
162,2014-12-11,Winter 2011,2015-01-22
163,2017-07-03,Summer 2012,2017-08-02
164,2020-02-14,Fall 2012,2020-03-05
165,2019-09-14,Winter 2012,2019-12-11
166,2016-03-20,Summer 2013,2016-03-30
167,2014-09-22,Fall 2013,2014-11-09
168,2016-01-15,Winter 2013,2016-02-19
169,2016-06-12,Summer 2014,2016-07-30
170,2022-12-25,Fall 2014,2023-02-06
171,2014-06-28,Winter 2014,2014-09-10
172,2015-12-18,Summer 2015,2016-02-23
173,2021-01-26,Fall 2015,2021-05-11
174,2019-02-23,Winter 2015,2019-03-12
175,2021-01-30,Summer 2016,2021-05-26
176,2022-06-25,Fall 2016,2022-09-26
177,2015-02-19,Winter 2016,2015-05-20
178,2019-11-22,Summer 2017,2020-03-17
179,2014-12-19,Fall 2017,2015-03-17
180,2014-10-06,Winter 2017,2014-11-02
181,2022-10-06,Summer 2018,2022-10-20
182,2018-07-09,Fall 2018,2018-09-10
183,2022-10-24,Winter 2018,2022-11-24
184,2022-01-26,Summer 2019,2022-03-03
185,2020-03-03,Fall 2019,2020-05-14
186,2023-09-05,Winter 2019,2023-10-25
187,2023-02-14,Summer 2020,2023-03-06
188,2021-07-13,Fall 2020,2021-10-06
189,2021-08-30,Winter 2020,2021-09-22
190,2015-01-02,Summer 2021,2015-04-20
191,2019-12-16,Fall 2021,2020-03-26
192,2016-11-18,Winter 2021,2017-01-07
193,2023-03-25,Summer 2022,2023-05-01
194,2016-01-15,Fall 2022,2016-02-18
195,2021-09-10,Winter 2022,2021-10-02
196,2022-03-04,Summer 2010,2022-05-12
197,2018-07-28,Fall 2010,2018-09-05
198,2018-09-18,Winter 2010,2018-12-30
199,2021-01-18,Summer 2011,2021-02-08
200,2017-11-04,Fall 2011,2018-02-02
201,2019-08-05,Winter 2011,2019-11-02
202,2022-04-07,Summer 2012,2022-07-23
203,2018-05-11,Fall 2012,2018-07-12
204,2020-09-08,Winter 2012,2020-11-24
205,2017-08-18,Summer 2013,2017-10-23
206,2022-06-14,Fall 2013,2022-10-08
207,2019-03-31,Winter 2013,2019-07-28
208,2019-01-27,Summer 2014,2019-04-22
209,2019-07-25,Fall 2014,2019-08-07
210,2017-02-19,Winter 2014,2017-05-26
211,2018-09-27,Summer 2015,2018-10-16
212,2018-03-26,Fall 2015,2018-06-29
213,2018-05-26,Winter 2015,2018-06-06
214,2019-07-17,Summer 2016,2019-09-22
215,2021-10-09,Fall 2016,2021-12-18
216,2024-03-05,Winter 2016,2024-03-06
217,2016-08-25,Summer 2017,2016-11-28
218,2022-10-18,Fall 2017,2022-11-07
219,2023-05-19,Winter 2017,2023-06-01
220,2018-09-14,Summer 2018,2018-11-28
221,2021-06-13,Fall 2018,2021-10-03
222,2015-08-27,Winter 2018,2015-09-06
223,2023-03-14,Summer 2019,2023-07-08
224,2016-12-13,Fall 2019,2017-02-12
225,2017-11-07,Winter 2019,2018-01-18
226,2017-05-24,Summer 2020,2017-07-24
227,2019-07-20,Fall 2020,2019-08-19
228,2016-06-19,Winter 2020,2016-09-16
229,2015-04-21,Summer 2021,2015-07-14
230,2022-10-31,Fall 2021,2022-12-17
231,2022-07-12,Winter 2021,2022-09-25
232,2015-11-16,Summer 2022,2016-03-14
233,2016-06-13,Fall 2022,2016-09-11
234,2016-11-16,Winter 2022,2016-12-15
235,2020-11-26,Summer 2010,2021-02-01
236,2021-07-21,Fall 2010,2021-09-01
237,2019-02-15,Winter 2010,2019-02-22
238,2021-03-17,Summer 2011,2021-06-02
239,2021-05-27,Fall 2011,2021-06-29
240,2021-01-15,Winter 2011,2021-02-16
241,2016-08-08,Summer 2012,2016-09-17
242,2021-07-17,Fall 2012,2021-09-09
243,2018-10-23,Winter 2012,2019-02-12
244,2017-08-11,Summer 2013,2017-09-21
245,2015-07-27,Fall 2013,2015-10-24
246,2015-03-23,Winter 2013,2015-04-23
247,2020-04-22,Summer 2014,2020-06-22
248,2016-09-14,Fall 2014,2016-11-24
249,2018-05-09,Winter 2014,2018-07-30
250,2024-04-19,Summer 2015,2024-06-04
251,2017-01-03,Fall 2015,2017-02-23
252,2022-02-19,Winter 2015,2022-06-02
253,2020-11-05,Summer 2016,2020-12-19
254,2015-09-05,Fall 2016,2015-09-15
255,2021-06-23,Winter 2016,2021-10-08
256,2019-01-07,Summer 2017,2019-04-30
257,2019-02-01,Fall 2017,2019-05-11
258,2023-10-22,Winter 2017,2023-11-14
259,2015-07-09,Summer 2018,2015-10-22
260,2019-10-22,Fall 2018,2019-12-10
261,2015-09-29,Winter 2018,2015-10-11
262,2019-01-22,Summer 2019,2019-04-23
263,2020-09-02,Fall 2019,2020-09-26
264,2014-08-29,Winter 2019,2014-09-22
265,2016-03-24,Summer 2020,2016-04-09
266,2018-06-21,Fall 2020,2018-09-22
267,2016-02-08,Winter 2020,2016-04-08
268,2016-12-27,Summer 2021,2017-03-06
269,2022-10-27,Fall 2021,2022-12-15
270,2018-06-12,Winter 2021,2018-08-26
271,2023-05-10,Summer 2022,2023-06-05
272,2014-09-28,Fall 2022,2014-10-06
273,2023-09-18,Winter 2022,2024-01-02
274,2015-12-27,Summer 2010,2016-03-06
275,2015-11-25,Fall 2010,2016-02-08
276,2022-10-31,Winter 2010,2022-12-07
277,2014-07-27,Summer 2011,2014-09-19
278,2014-08-02,Fall 2011,2014-11-14
279,2014-10-03,Winter 2011,2014-12-14
280,2017-06-29,Summer 2012,2017-08-29
281,2019-06-13,Fall 2012,2019-06-19
282,2015-12-11,Winter 2012,2016-01-12
283,2017-10-25,Summer 2013,2017-11-25
284,2017-01-28,Fall 2013,2017-04-04
285,2015-11-03,Winter 2013,2016-02-02
286,2016-01-18,Summer 2014,2016-04-03
287,2015-11-28,Fall 2014,2015-11-30
288,2018-05-31,Winter 2014,2018-09-20
289,2016-12-03,Summer 2015,2017-03-20
290,2022-10-31,Fall 2015,2022-11-01
291,2019-10-18,Winter 2015,2019-11-13
292,2015-05-02,Summer 2016,2015-08-09
293,2017-05-23,Fall 2016,2017-06-21
294,2017-03-25,Winter 2016,2017-03-31
295,2024-03-21,Summer 2017,2024-05-04
296,2019-07-11,Fall 2017,2019-09-27
297,2015-06-24,Winter 2017,2015-07-04
298,2023-12-26,Summer 2018,2024-02-02
299,2022-02-02,Fall 2018,2022-05-04
300,2022-05-19,Winter 2018,2022-08-19
301,2020-12-30,Summer 2019,2021-04-11
302,2016-06-18,Fall 2019,2016-08-16
303,2024-02-12,Winter 2019,2024-05-05
304,2016-05-19,Summer 2020,2016-08-24
305,2018-08-14,Fall 2020,2018-11-07
306,2014-11-25,Winter 2020,2014-12-04
307,2016-03-20,Summer 2021,2016-05-12
308,2015-07-17,Fall 2021,2015-09-29
309,2014-09-04,Winter 2021,2014-11-16
310,2022-03-02,Summer 2022,2022-04-14
311,2017-03-05,Fall 2022,2017-05-07
312,2017-07-02,Winter 2022,2017-07-17
313,2022-09-11,Summer 2010,2022-12-02
314,2020-08-10,Fall 2010,2020-10-20
315,2020-02-05,Winter 2010,2020-05-17
316,2021-01-31,Summer 2011,2021-02-26
317,2024-05-15,Fall 2011,2024-08-17
318,2023-03-04,Winter 2011,2023-03-11
319,2020-08-04,Summer 2012,2020-10-12
320,2015-11-18,Fall 2012,2016-01-11
321,2016-06-10,Winter 2012,2016-06-28
322,2019-04-02,Summer 2013,2019-04-10
323,2018-06-14,Fall 2013,2018-06-27
324,2016-11-24,Winter 2013,2016-12-06
325,2023-10-16,Summer 2014,2023-11-12
326,2020-09-18,Fall 2014,2020-10-24
327,2016-12-31,Winter 2014,2017-02-04
328,2019-03-09,Summer 2015,2019-04-27
329,2015-08-30,Fall 2015,2015-11-13
330,2017-05-04,Winter 2015,2017-06-09
331,2016-02-03,Summer 2016,2016-03-01
332,2015-04-13,Fall 2016,2015-05-06
333,2019-04-13,Winter 2016,2019-06-23
334,2019-12-23,Summer 2017,2020-01-05
335,2021-03-22,Fall 2017,2021-03-30
336,2018-05-02,Winter 2017,2018-06-17
337,2021-05-02,Summer 2018,2021-05-26
338,2023-02-25,Fall 2018,2023-06-13
339,2022-02-04,Winter 2018,2022-05-20
340,2016-01-31,Summer 2019,2016-03-29
341,2020-12-09,Fall 2019,2020-12-20
342,2016-05-26,Winter 2019,2016-05-27
343,2021-09-11,Summer 2020,2021-11-06
344,2017-01-02,Fall 2020,2017-01-23
345,2023-03-29,Winter 2020,2023-05-24
346,2023-07-14,Summer 2021,2023-09-18
347,2021-11-19,Fall 2021,2021-12-11
348,2019-08-26,Winter 2021,2019-09-12
349,2018-10-18,Summer 2022,2018-12-02
350,2016-07-15,Fall 2022,2016-08-01
351,2018-11-23,Winter 2022,2018-12-10
352,2022-06-15,Summer 2010,2022-07-15
353,2015-01-14,Fall 2010,2015-04-24
354,2016-04-12,Winter 2010,2016-06-23
355,2017-05-31,Summer 2011,2017-06-05
356,2017-12-22,Fall 2011,2018-04-17
357,2014-07-02,Winter 2011,2014-08-06
358,2016-11-28,Summer 2012,2017-02-14
359,2016-12-09,Fall 2012,2017-03-13
360,2018-03-25,Winter 2012,2018-06-11
361,2021-10-03,Summer 2013,2021-11-22
362,2024-02-06,Fall 2013,2024-05-06
363,2017-05-20,Winter 2013,2017-07-03
364,2016-05-20,Summer 2014,2016-06-14
365,2016-05-14,Fall 2014,2016-08-05
366,2023-08-30,Winter 2014,2023-11-30
367,2022-10-25,Summer 2015,2022-10-26
368,2018-01-15,Fall 2015,2018-03-27
369,2024-02-01,Winter 2015,2024-02-13
370,2023-08-17,Summer 2016,2023-09-12
371,2015-07-28,Fall 2016,2015-08-09
372,2018-08-16,Winter 2016,2018-11-05
373,2017-08-27,Summer 2017,2017-11-13
374,2022-03-01,Fall 2017,2022-04-24
375,2023-08-25,Winter 2017,2023-11-17
376,2016-02-13,Summer 2018,2016-05-30
377,2017-04-21,Fall 2018,2017-07-15
378,2015-05-27,Winter 2018,2015-09-23
379,2019-05-09,Summer 2019,2019-09-07
380,2022-11-28,Fall 2019,2022-12-10
381,2022-01-13,Winter 2019,2022-02-11
382,2023-10-14,Summer 2020,2023-10-16
383,2017-09-02,Fall 2020,2017-09-02
384,2019-07-05,Winter 2020,2019-10-12
385,2022-01-14,Summer 2021,2022-05-05
386,2015-08-29,Fall 2021,2015-10-07
387,2020-12-13,Winter 2021,2021-01-01
388,2019-06-19,Summer 2022,2019-06-21
389,2022-06-20,Fall 2022,2022-08-01
390,2018-11-17,Winter 2022,2019-01-06
391,2016-05-23,Summer 2010,2016-07-08
392,2024-01-16,Fall 2010,2024-03-23
393,2018-12-20,Winter 2010,2019-02-18
394,2019-10-12,Summer 2011,2019-12-23
395,2015-08-30,Fall 2011,2015-09-22
396,2023-10-26,Winter 2011,2023-12-05
397,2015-02-09,Summer 2012,2015-03-04
398,2021-05-06,Fall 2012,2021-05-28
399,2018-04-25,Winter 2012,2018-06-20
400,2014-09-06,Summer 2013,2014-09-09
401,2014-07-24,Fall 2013,2014-09-14
402,2024-02-18,Winter 2013,2024-06-13
403,2014-07-06,Summer 2014,2014-07-31
404,2018-08-13,Fall 2014,2018-11-29
405,2018-01-09,Winter 2014,2018-01-27
406,2015-08-15,Summer 2015,2015-09-10
407,2023-04-01,Fall 2015,2023-07-16
408,2019-12-13,Winter 2015,2020-03-14
409,2021-07-10,Summer 2016,2021-08-02
410,2015-08-19,Fall 2016,2015-11-24
411,2017-04-26,Winter 2016,2017-06-19
412,2020-07-14,Summer 2017,2020-09-03
413,2020-09-27,Fall 2017,2020-12-09
414,2017-11-12,Winter 2017,2018-02-28
415,2023-11-03,Summer 2018,2023-12-06
416,2018-01-18,Fall 2018,2018-03-09
417,2016-10-01,Winter 2018,2017-01-03
418,2019-08-27,Summer 2019,2019-12-24
419,2023-06-13,Fall 2019,2023-09-06
420,2016-01-27,Winter 2019,2016-03-20
421,2015-08-29,Summer 2020,2015-12-01
422,2015-03-25,Fall 2020,2015-05-14
423,2020-07-24,Winter 2020,2020-10-09
424,2015-05-13,Summer 2021,2015-06-28
425,2014-12-16,Fall 2021,2015-01-11
426,2023-05-14,Winter 2021,2023-05-23
427,2019-03-23,Summer 2022,2019-04-02
428,2023-07-29,Fall 2022,2023-11-02
429,2015-09-29,Winter 2022,2015-11-08
430,2017-04-10,Summer 2010,2017-07-12
431,2015-01-23,Fall 2010,2015-05-12
432,2021-12-25,Winter 2010,2022-03-02
433,2014-08-01,Summer 2011,2014-11-23
434,2016-04-30,Fall 2011,2016-06-25
435,2022-10-21,Winter 2011,2022-12-21
436,2021-09-19,Summer 2012,2021-11-22
437,2024-01-05,Fall 2012,2024-02-26
438,2020-02-19,Winter 2012,2020-02-22
439,2022-05-04,Summer 2013,2022-05-08
440,2022-08-19,Fall 2013,2022-09-03
441,2021-06-23,Winter 2013,2021-08-11
442,2015-02-19,Summer 2014,2015-06-11
443,2014-08-22,Fall 2014,2014-10-23
444,2014-12-14,Winter 2014,2015-03-07
445,2018-12-28,Summer 2015,2019-04-26
446,2020-02-09,Fall 2015,2020-05-28
447,2016-05-04,Winter 2015,2016-05-25
448,2017-05-13,Summer 2016,2017-09-10
449,2015-09-18,Fall 2016,2015-10-21
450,2017-10-20,Winter 2016,2018-02-02
451,2015-10-05,Summer 2017,2015-10-22
452,2016-11-12,Fall 2017,2017-02-27
453,2020-08-19,Winter 2017,2020-11-14
454,2021-06-08,Summer 2018,2021-09-06
455,2020-05-03,Fall 2018,2020-06-01
456,2020-12-17,Winter 2018,2021-01-28
457,2019-11-27,Summer 2019,2020-02-11
458,2023-11-27,Fall 2019,2024-01-18
459,2023-04-06,Winter 2019,2023-06-28
460,2016-01-26,Summer 2020,2016-02-20
461,2019-12-05,Fall 2020,2019-12-29
462,2015-05-23,Winter 2020,2015-08-04
463,2022-07-15,Summer 2021,2022-09-29
464,2015-08-27,Fall 2021,2015-09-24
465,2018-07-15,Winter 2021,2018-09-06
466,2017-06-29,Summer 2022,2017-07-02
467,2021-10-01,Fall 2022,2021-12-30
468,2018-12-28,Winter 2022,2019-02-05
469,2019-09-06,Summer 2010,2019-10-02
470,2019-05-15,Fall 2010,2019-06-24
471,2017-10-14,Winter 2010,2018-02-03
472,2016-08-30,Summer 2011,2016-09-30
473,2021-05-06,Fall 2011,2021-06-12
474,2021-05-20,Winter 2011,2021-09-07
475,2017-02-21,Summer 2012,2017-03-19
476,2018-04-30,Fall 2012,2018-06-16
477,2019-12-03,Winter 2012,2019-12-07
478,2023-12-29,Summer 2013,2024-03-14
479,2021-05-29,Fall 2013,2021-08-05
480,2018-01-17,Winter 2013,2018-02-02
481,2017-11-20,Summer 2014,2018-01-24
482,2020-06-24,Fall 2014,2020-08-10
483,2017-10-08,Winter 2014,2017-10-29
484,2021-07-20,Summer 2015,2021-11-13
485,2023-03-09,Fall 2015,2023-04-10
486,2020-12-06,Winter 2015,2021-03-10
487,2016-12-20,Summer 2016,2017-02-06
488,2024-04-14,Fall 2016,2024-07-22
489,2020-03-28,Winter 2016,2020-05-13
490,2019-04-15,Summer 2017,2019-07-08
491,2014-09-19,Fall 2017,2014-11-04
492,2019-05-30,Winter 2017,2019-06-03
493,2022-12-09,Summer 2018,2023-01-31
494,2023-04-19,Fall 2018,2023-06-17
495,2023-12-11,Winter 2018,2024-03-10
496,2019-10-15,Summer 2019,2020-01-19
497,2016-02-08,Fall 2019,2016-05-13
498,2023-05-31,Winter 2019,2023-06-19
499,2015-02-28,Summer 2020,2015-03-29
500,2018-02-20,Fall 2020,2018-03-27
